0.000	X
14.550	J
14.783	X
14.967	J
15.000	I
15.050	A
15.100	B
15.150	J
15.267	I
15.483	A
15.517	I
15.750	A
15.833	I
16.050	A
16.267	B
16.300	J
16.467	C
16.517	E
16.650	J
16.850	F
17.000	I
17.017	F
17.450	B
17.467	A
17.517	X
18.017	C
18.083	K
18.167	E
18.217	A
18.350	E
18.483	H
18.600	A
18.750	E
18.817	D
18.867	E
18.933	A
19.000	F
19.317	A
19.400	X
19.783	J
19.917	X
20.000	J
20.117	C
20.133	E
20.333	H
20.367	E
20.533	D
20.783	K
20.817	E
21.467	K
21.550	E
21.767	H
21.850	I
21.867	C
22.017	E
22.400	D
22.450	E
22.650	H
22.717	B
22.783	F
22.950	A
23.067	X
23.117	H
23.133	X
23.167	H
23.200	E
23.350	F
23.767	A
23.883	X
24.567	J
24.750	X
24.917	J
24.933	C
24.983	D
25.200	H
25.233	E
25.467	J
25.617	D
25.700	E
26.017	H
26.067	E
26.150	C
26.250	E
26.450	K
26.500	D
26.550	K
26.667	E
26.717	D
26.733	J
26.817	H
26.833	E
27.167	J
27.333	C
27.417	D
27.667	I
27.800	D
27.933	I
27.950	D
27.967	B
28.083	C
28.167	F
28.550	A
28.650	X
28.767	J
28.867	X
29.017	C
29.067	F
29.200	J
29.383	I
29.667	J
29.850	I
30.133	F
30.150	A
30.450	B
30.467	J
30.650	F
30.750	A
31.200	X
31.233	J
31.367	X
31.500	J
31.533	C
31.583	F
31.617	B
31.650	F
31.700	A
31.767	B
31.817	X
31.850	C
31.900	A
32.217	X
32.333	F
32.383	A
32.733	I
32.917	C
33.067	A
33.217	F
33.350	A
33.567	E
33.667	A
33.750	E
33.800	A
34.167	X
34.617	J
34.767	X
34.950	I
34.967	C
35.100	F
35.117	J
35.317	I
35.450	C
35.517	B
35.567	H
35.600	A
35.783	I
36.100	A
36.300	X
36.417	A
36.467	F
36.617	H
36.650	G
36.667	X
36.767	A
36.800	H
36.817	F
36.900	A
37.067	H
37.083	J
37.300	F
37.317	I
37.333	F
37.417	A
37.667	C
37.850	B
37.867	A
37.967	E
38.183	D
38.233	E
38.267	H
38.317	I
38.417	B
38.433	J
38.567	C
38.683	E
38.733	K
38.983	E
39.050	A
39.133	X
39.333	J
39.500	X
39.550	J
39.700	I
39.817	D
40.000	E
40.267	D
40.517	E
40.617	K
41.050	F
41.083	H
41.150	E
41.167	C
41.200	E
41.500	D
41.600	K
41.800	E
41.933	D
42.050	K
42.133	E
42.283	H
42.367	F
42.517	C
42.550	E
42.667	C
42.717	D
42.917	E
43.233	F
43.533	A
43.650	X
44.150	J
44.267	X
44.400	J
44.450	C
44.467	E
44.683	D
44.700	I
44.750	D
44.800	E
44.967	J
45.067	C
45.100	E
45.367	J
45.550	C
45.567	E
45.667	H
45.683	E
45.833	H
45.867	E
45.900	D
45.967	E
46.017	J
46.200	C
46.233	D
46.250	E
46.450	J
46.617	E
46.900	H
47.017	C
47.050	E
47.250	H
47.400	E
47.667	F
47.867	A
47.950	X
48.000	J
48.150	X
48.267	I
48.317	C
48.367	F
48.517	A
48.533	B
48.583	G
48.617	C
48.800	D
48.967	B
49.050	F
49.267	A
49.317	H
49.333	J
49.567	I
49.650	A
49.767	B
49.800	J
49.917	I
49.983	F
50.017	A
50.467	X
50.517	J
50.600	X
50.767	J
50.800	I
51.000	F
51.367	A
51.400	B
51.433	I
51.583	A
51.700	I
51.800	A
51.867	I
51.917	A
52.700	X
52.817	A
52.833	F
52.900	A
54.050	X
56.400	J
56.500	A
57.067	X
57.133	D
57.250	E
57.317	K
57.800	F
57.850	H
57.900	X
59.217	F
59.300	A
59.517	E
59.650	F
60.550	A
60.567	H
60.617	X
61.250	J
61.450	X
61.583	I
61.667	A
61.700	I
61.783	A
61.833	H
61.950	E
62.350	J
62.483	C
62.500	D
62.600	K
62.617	E
62.700	J
62.767	K
63.017	J
63.050	K
63.417	J
63.517	D
63.817	B
63.833	J
63.950	X
64.017	A
64.317	E
64.750	F
65.017	A
65.233	X
65.683	J
65.817	X
66.033	A
66.600	D
66.733	K
66.817	E
66.933	K
67.183	E
67.300	K
67.367	E
67.417	H
67.467	A
67.600	X
68.367	J
68.417	X
68.667	A
69.050	E
69.333	F
69.950	H
70.000	X
70.433	J
70.550	X
70.717	I
70.817	A
70.867	F
70.900	J
71.050	F
71.233	A
71.350	F
71.433	A
71.550	F
71.600	I
71.800	F
71.850	J
71.950	I
72.117	A
72.150	F
72.200	I
72.417	B
72.467	X
72.500	H
72.617	F
72.800	A
72.900	X
72.967	A
73.400	J
73.500	I
73.667	F
73.700	B
73.717	J
73.850	C
73.917	E
73.967	D
74.200	A
74.217	E
74.317	A
74.467	E
74.500	A
74.550	E
74.650	A
74.717	F
74.900	A
75.133	X
75.233	J
75.417	X
75.617	A
75.633	I
75.650	F
75.683	A
76.150	E
76.167	D
76.350	E
76.367	K
76.450	E
76.650	K
77.133	J
77.250	X
77.950	J
78.067	X
78.300	A
78.617	E
78.783	C
78.800	E
78.967	F
79.067	C
79.100	F
79.733	B
79.750	H
79.800	X
80.283	J
80.517	X
80.683	A
80.700	I
80.850	A
80.900	B
80.917	H
80.950	X
80.967	H
81.050	C
81.083	E
81.117	C
